id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
1972,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,06.10.2023,SANTA ROSA 1° cdra 217 m2 baños Estacionamiento LOCAL ALQUILER CENTRO
1985,Casa,Alquileres,3.0,,Moneda no identificada,Bº Nueva Córdoba,06.10.2023,"Casa alquiler para uso Comercial,  zona Parque de las tejas"
1987,Comercio,Alquileres,,,Moneda no identificada,Bº Los Boulevares,06.10.2023,Alquiler de Oficinas 
1989,Comercio,Alquileres,,,Moneda no identificada,Bº Santa Clara de Asis,06.10.2023,León y Pizarro - B° Santa Clara de Asís
2008,Departamento,Alquileres,2.0,,Moneda no identificada,Bº Alberdi,05.10.2023,"ALQUILER TEMPORARIO,  DEPARTAMENTO DE 2 DORMITORIOS A 3 CUADRAS DEL N.C. SHOPPING"
2009,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Centro,05.10.2023,"ALQUILER TEMPORARIO,  DEPARTAMENTO EN EL CENTRO DE CÓRDOBA  "
2021,Casa,Alquileres,4.0,,Moneda no identificada,Bº Cofico,05.10.2023,Alquiler COMERCIAL de casa antigua.
2058,Departamento,Alquileres,3.0,,Moneda no identificada,Bº Nueva Córdoba,04.10.2023," ALQUILO  semipiso en NVA CBA,  DUEÑO, 3 dormitorios "
2105,Comercio,Alquileres,,,Moneda no identificada,Bº Residencial America,03.10.2023,Av. Alem - B° Residencial América
2107,Comercio,Alquileres,,,Moneda no identificada,Bº Los Alamos,03.10.2023,Enrique Bauchs - B° Los Álamos
2110,Casa,Alquileres,4.0,,Moneda no identificada,Bº Villa Belgrano,02.10.2023,ALQUILER Excelente propiedad en Villa Belgrano
2112,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,02.10.2023,Alquilo Local Recta Martinolli
2116,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,02.10.2023,Alquiler de Oficina Corporativa
2117,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,02.10.2023,Alquiler de Oficina Corporativa Colon Y Cañada!
2137,Comercio,Alquileres,,,Moneda no identificada,Bº Residencial San Carlos,02.10.2023,ALQUILER IMPORTANTE ZONA COMERCIAL
2150,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,02.10.2023,"ALQUILO ESPECTACULAR OFICINA 380 M2,  EXCELENTE ESTADO"
2152,Departamento,Alquileres,4.0,,Moneda no identificada,Bº Centro,02.10.2023,COWORKING APTO PLENO CENTRO
2167,Comercio,Alquileres,,,Moneda no identificada,Bº Nueva Córdoba,01.10.2023,Gran Local en Nueva Cordoba - Bv. Chacabuco - Alquiler
2172,Comercio,Alquileres,,,Moneda no identificada,Bº Nueva Córdoba,01.10.2023,Alquilo Local Comercial Categoría - BOLIVAR 370 - Excelente ubicación
2183,Comercio,Alquileres,,,Moneda no identificada,Bº Los Gigantes,30.09.2023,Emilio Ravignani - B° Los Gigantes
2184,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,30.09.2023,"ALQ OFICINA con cochera a mts de Patio Olmos,  Tribunales"
2185,Comercio,Alquileres,,,Moneda no identificada,Bº Nueva Córdoba,30.09.2023,Local en Alquiler - Zona Terminal sobre Bv Illia
2198,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Centro,29.09.2023,"Depto en santa rosa al 100, con quincho, terraza!!!"
2267,Comercio,Alquileres,,,Moneda no identificada,Bº Residencial America,27.09.2023,Alquilo TRES LOCALES B° Residencial América. juntos o separados
2269,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Nueva Córdoba,27.09.2023,Depto en ambrosio olmos al 600 c patio!!!
2272,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Centro,27.09.2023,Alquiler depto 1 dorm. en zona centro
2275,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,27.09.2023,ALQUILER Oficinas en 9 de julio esq. San Martin.
2280,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,26.09.2023,CENTRO - PROYECTO CAPITALINAS - OFICINAS AAA
2282,Comercio,Alquileres,,,Moneda no identificada,Bº Villa Cabrera,26.09.2023,"HERMOSA CASA 2 PLANTAS 4 DORM,  5BÑ -IDEAL EMPRESA- PROX SHOPPING"
2297,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Nueva Córdoba,26.09.2023,LINDO DEPTO A ESTRENAR EN AYACUCHO Y BV SAN JUAN
2308,Casa,Alquileres,4.0,,Moneda no identificada,Bº Centro America,26.09.2023,CASA EN ALQUILER 4 DORM disponible para
2322,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,25.09.2023,SANTA ROSA 1° cdra 2000 m2 - 4 Pisos Oficinas Depósito LOCAL ALQUILER  CENTRO
2323,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,25.09.2023,SANTA ROSA 1° cdra 217 m2 baños Estacionamiento LOCAL ALQUILER CENTRO
2324,Casa,Alquileres,3.0,,Moneda no identificada,Bº Crisol Norte,25.09.2023,"DUEÑO ALQUILA CASA en Bo. CRISOL,  CÓRDOBA"
2327,null,null,,,Moneda no identificada,null,Fecha no disponible,Titulo no disponible
