id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
706,Comercio,Alquiler,,60000.0,Pesos,Bº Centro,08.10.2023,ALQUILER - PRIVADO - ZONA MICRO CENTRO - COLEGAS COWORKING 
707,Comercio,Alquiler,,55000.0,Pesos,Bº Centro,08.10.2023,Av.Colón 164 Astoria.Categoria.
708,Casa,Alquiler,3.0,200000.0,Pesos,Bº Los Naranjos,08.10.2023,LOS NARANJOS LOCAL Y TRES HABITACIONES
709,Comercio,Alquiler,,65000.0,Pesos,Bº Pueyrredon,08.10.2023,ALTO GENERAL PAZ - LOCAL ESQUINA SOBRE UCRANIA 348 - 42 METROS
710,Casa,Alquiler,2.0,120000.0,Pesos,Bº Villa Retiro,08.10.2023,Alquilo Casa a estrenar Villa Retiro de Horizonte
711,Comercio,Alquiler,,280000.0,Pesos,Bº Cofico,08.10.2023,CONSULTORIO ODONTOLOGICO CON MOBILIARIO - Bº COFICO 
712,Departamento,Alquiler,1.0,180000.0,Pesos,Bº Nueva Córdoba,08.10.2023,Frente parque las Tejas Dpto 1 dormitorio
713,Comercio,Alquiler,,9000.0,Pesos,Bº Alto Alberdi,08.10.2023,COCHERA PARA MOTO CUBIERTA CON PORTÓN AUTOMÁTICO
714,Casa,Alquiler,3.0,320000.0,Pesos,Bº Nuevo Poeta Lugones,08.10.2023,"ALQ. NVO. POETA,  3 DOR. COCHERA,  PATIO,  CALEF,  CENTRAL,  HERMOSA"
716,Comercio,Alquiler,,20000.0,Pesos,Bº Centro,08.10.2023,OFICINA EN ALQUILER - CENTRO
717,Casa,Alquiler,3.0,2200.0,Dólares,Bº Villa Warcalde,08.10.2023,"CASA EN LAA RBOLEDA,  V. WARCALDE /  3 DORM."
718,Departamento,Alquiler,1.0,170000.0,Pesos,Bº Centro,08.10.2023,En Pleno centro - Zona Colon y cañada DPTO 1 Dormitorio tipo duplex en  alquile
