TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
Departamento,Alquiler,1.0,155000.0,Pesos,Bº Alta Córdoba,25.09.2023,DISPONIBLE OCTUBRE. ALQUILER Depto 1 dorm.  ALTA CÓRDOBA. P.B. Pequeño Patio
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Nueva Córdoba,25.09.2023,"Nva. Cba-Ctro,  Parana 195,  Coc / Sep,  Ampl,  Balc ext"
Departamento,Alquiler,1.0,95000.0,Pesos,Bº Alto Alberdi,22.09.2023,Alto Alberdi - 1 dormitorio.
Departamento,Alquiler,1.0,20000.0,Pesos,Bº Centro,22.09.2023,"Oficina céntrica sobre calle Lima y Rivadavia,  primer piso"
Departamento,Alquiler,1.0,120000.0,Pesos,Bº General Paz,21.09.2023,Alquiler de Salón comercial en Barrio General Paz
Departamento,Alquiler,1.0,95000.0,Pesos,Bº Centro,20.09.2023,Alquilo. Departamento. Apto uso comercial o vivienda. Centro.
Departamento,Alquiler,1.0,100000.0,Pesos,Bº Sarmiento,20.09.2023,Alquilo Excelente Ubicacion Zona Bancaria y Comercial
Departamento,Alquiler,1.0,150000.0,Pesos,Bº Alberdi,14.09.2023,SE ALQUILA DPTO C / AGUA Y EXP INCLUIDAS - 1 DORM-LIV / COM-COC-BAÑO-BALCON 
Departamento,Alquiler,1.0,150000.0,Pesos,Bº Jardín,14.09.2023,LOCAL EN ALQUILER AV RICHIERI
Departamento,Alquiler,1.0,85000.0,Pesos,Bº Providencia,14.09.2023,"UN DORM PB ,  COMEDOR,  PATIO INTERNO,  COCHERA B|PROVIDENCIA "
Departamento,Alquiler,2.0,280000.0,Pesos,Bº Manantiales,13.09.2023,CASONAS DE MANANTIALES. Alquiler Departamento 2 dorm. c / cochera. 
Departamento,Alquiler,2.0,70000.0,Pesos,Bº General Paz,08.09.2023,DEPTO GRAL PAZ - ECONOMICO - 2 DOR
Departamento,Alquiler,1.0,130000.0,Pesos,Bº General Paz,08.09.2023,"Alquiler dpto un dorm. C / Balcon,  Amenities,  CATEGORIA!!"
Comercio,Alquiler,1.0,100000.0,Pesos,Bº Nueva Córdoba,07.09.2023,Nueva Cordoba Alquilo Local
Departamento,Alquiler,1.0,100000.0,Pesos,Bº Centro,07.09.2023,Alquiler Duarte Quiros 969 Un (1) dormitorio Centro
Departamento,Alquiler,1.0,140000.0,Pesos,Bº Nueva Córdoba,05.09.2023,Departamento de 1 dormitorio en alquiler.
Departamento,Alquiler,1.0,110000.0,Pesos,Bº Nueva Córdoba,02.09.2023,DEPARTAMENTO EN NUEVA CBA MUY BIEN UBICADO
Departamento,Alquiler,1.0,95000.0,Pesos,Bº Centro,01.09.2023,Alquilo. Departamento. Apto uso comercial o vivienda. Centro.
Departamento,Alquiler,1.0,20000.0,Pesos,Bº General Paz,31.08.2023,General Paz - Cochera Amplia - Complejo Sonoma Ribera
Departamento,Alquiler,1.0,90000.0,Pesos,Bº Centro,18.08.2023,CTRO CASEROS DOR ZONA MUNICIPALIDAD CBA  
Departamento,Alquiler,1.0,160000.0,Pesos,Bº Alberdi,18.08.2023,EXCELENTE ALQUILER TEMPORARIO DE DOS DORMITORIOS!!!!
Departamento,Alquiler,1.0,145000.0,Pesos,Bº Nueva Córdoba,17.08.2023,HERMOSO DEPTO CON BALCON FRENTE!
Departamento,Alquiler,1.0,140000.0,Pesos,Bº Nueva Córdoba,17.08.2023,HERMOSO DEPTO CON BALCON AMPLIO FRENTE!
Departamento,Alquiler,1.0,100000.0,Pesos,Bº General Paz,17.08.2023,"DEPTO EN ALQUILER,  GRAL PAZ,  "
Departamento,Alquiler,1.0,65000.0,Pesos,Bº Alberdi,17.08.2023,Reservado
Departamento,Alquiler,2.0,180000.0,Pesos,Bº Centro,16.08.2023,Alquiler Depto 2 Dormitorios c /  Balcón en el Centro excelente ubicación 
Departamento,Alquiler,1.0,130000.0,Pesos,Bº General Paz,14.08.2023,Alquilo Barrio General Paz depto 1 dor
Departamento,Alquiler,1.0,33000.0,Pesos,Bº Villa Revol,09.08.2023,ALQUILER Bº VILLA REVOL TANDIL 1600 LOCAL 20M2 
Departamento,Alquiler,1.0,120000.0,Pesos,Bº Centro,08.08.2023,Jujuy a metros de Colón Planta libre 2 baños Subsuelo LOCAL ALQUILER CENTRO
Departamento,Alquiler,1.0,65000.0,Pesos,Bº Centro,04.08.2023,CENTRO MTS TRIBUNALES
Departamento,Alquiler,1.0,350000.0,Pesos,Bº Nueva Córdoba,27.07.2023,SE ALQUILA HERMOSA CASONA COMERCIAL EN PLENA NVA CBA
Departamento,Alquiler,1.0,112300.0,Pesos,Bº Parque San Vicente,26.07.2023,B° PARQUE SAN VICENTE-ACOSTA N° 1293
Departamento,Alquiler,1.0,270000.0,Pesos,Bº Villa Warcalde,20.07.2023,VILLA WARCALDE AMPLIO JARDIN (Ver vídeo)
Departamento,Alquiler,1.0,2000.0,Dólares,Bº Los Boulevares,13.07.2023,GALPON PREMIUN A 1 1 / 2 CUADRA DE BOULEVARD DE LOS ALEMANES - LO VAMOS A  VISITAR?
Departamento,Alquiler,1.0,80000.0,Pesos,Bº Pueyrredon,11.07.2023,B PUEYRREDON AV PATRIA 1453
Comercio,Alquiler,1.0,45000.0,Pesos,Bº Cerro de las Rosas,06.07.2023,Local en Galería Precedo 
Departamento,Alquiler,1.0,120000.0,Pesos,Bº Nueva Córdoba,06.07.2023,Alquilo Dpto 1 Dormitorio Amplio C / Balcón y Amenities Bº Nueva Córdoba.
Departamento,Alquiler,1.0,110000.0,Pesos,Bº General Paz,06.07.2023,Alquilo Dpto 1 Dormitorio C / Balcón a 1 Cuadra Av. 24 de Septiembre Bº  General
Departamento,Alquiler,1.0,16000.0,Pesos,Bº Centro,05.07.2023,COCHERA B° CENTRO . ITUZAINGO N 169 . EDIF. SIRIO LIBANÉS . GASTOS  INCLUIDO
